"","Terms","Frequency"
"photo","photo",16
"qualiti","qualiti",10
"paper","paper",9
"like","like",8
"pictur","pictur",8
"color","color",7
"one","one",7
"took","took",7
"even","even",6
"look","look",6
"charg","charg",5
"come","come",5
"instant","instant",5
"old","old",5
"stick","stick",5
"tongu","tongu",5
"anyway","anyway",4
"bad","bad",4
"bought","bought",4
"cabl","cabl",4
"card","card",4
"disappoint","disappoint",4
"find","find",4
"get","get",4
"price","price",4
"product","product",4
"realli","realli",4
"work","work",4
"accident","accident",3
"around","around",3
"back","back",3
"better","better",3
"button","button",3
"cent","cent",3
"design","design",3
"first","first",3
"flower","flower",3
"frame","frame",3
"howev","howev",3
"includ","includ",3
"just","just",3
"much","much",3
"now","now",3
"poor","poor",3
"reason","reason",3
"send","send",3
"still","still",3
"teenag","teenag",3
"turn","turn",3
"use","use",3
"wast","wast",3
"year","year",3
"advertis","advertis",2
"beauti","beauti",2
"blurri","blurri",2
"came","came",2
"case","case",2
"complain","complain",2
"comput","comput",2
"consid","consid",2
"cute","cute",2
"differ","differ",2
"ever","ever",2
"everi","everi",2
"extrem","extrem",2
"face","face",2
"fade","fade",2
"film","film",2
"fuji","fuji",2
"great","great",2
"high","high",2
"hold","hold",2
"horribl","horribl",2
"imag","imag",2
"instal","instal",2
"instead","instead",2
"instruct","instruct",2
"kind","kind",2
"littl","littl",2
"load","load",2
"long","long",2
"main","main",2
"make","make",2
"money","money",2
"need","need",2
"overal","overal",2
"pack","pack",2
"peopl","peopl",2
"pic","pic",2
"print","print",2
"put","put",2
"recommend","recommend",2
"red","red",2
"replac","replac",2
"save","save",2
"second","second",2
"shock","shock",2
"sinc","sinc",2
"take","take",2
"think","think",2
"thought","thought",2
"time","time",2
"total","total",2
"want","want",2
"way","way",2
"white","white",2
"will","will",2
"worst","worst",2
"wrong","wrong",2
"actual","actual",1
"age","age",1
"also","also",1
"although","although",1
"android","android",1
"anoth","anoth",1
"anyon","anyon",1
"anyth","anyth",1
"arriv","arriv",1
"aspect","aspect",1
"bare","bare",1
"base","base",1
"basic","basic",1
"batteri","batteri",1
"becam","becam",1
"becom","becom",1
"bit","bit",1
"border","border",1
"box","box",1
"brand","brand",1
"bright","bright",1
"bruhhh","bruhhh",1
"bruhhhh","bruhhhh",1
"buck","buck",1
"bulki","bulki",1
"bummer","bummer",1
"buy","buy",1
"camera","camera",1
"cant","cant",1
"canxt","canxt",1
"casper","casper",1
"chang","chang",1
"charger","charger",1
"choos","choos",1
"christma","christma",1
"comment","comment",1
"complaint","complaint",1
"complet","complet",1
"constant","constant",1
"cool","cool",1
"coolab","coolab",1
"cost","cost",1
"count","count",1
"day","day",1
"decid","decid",1
"defect","defect",1
"definit","definit",1
"describ","describ",1
"devic","devic",1
"didnxt","didnxt",1
"dont","dont",1
"donxt","donxt",1
"download","download",1
"drain","drain",1
"dull","dull",1
"ect","ect",1
"edit","edit",1
"either","either",1
"enjoy","enjoy",1
"enough","enough",1
"ensiv","ensiv",1
"erienc","erienc",1
"error","error",1
"especi","especi",1
"everyth","everyth",1
"exact","exact",1
"excit","excit",1
"fair","fair",1
"famili","famili",1
"fiddl","fiddl",1
"flash","flash",1
"flip","flip",1
"frustrat","frustrat",1
"fujifilm","fujifilm",1
"fun","fun",1
"fuss","fuss",1
