"","Terms","Frequency"
"boots","boots",88
"slippers","slippers",52
"boot","boot",13
"near","near",12
"telfar","telfar",12
"mini","mini",11
"made","made",10
"sale","sale",10
"australia","australia",9
"like","like",9
"ogg","ogg",9
"without","without",8
"bag","bag",7
"big","big",7
"code","code",7
"ultra","ultra",7
"zip","zip",7
"kids","kids",6
"yeah","yeah",6
"best","best",5
"discount","discount",5
"men","men",5
"neumel","neumel",5
"outlet","outlet",5
"platform","platform",5
"style","style",5
"waterproof","waterproof",5
"women","women",5
"emu","emu",4
"get","get",4
"koolaburra","koolaburra",4
"quilted","quilted",4
"sells","sells",4
"vegan","vegan",4
"washed","washed",4
"yose","yose",4
"ankle","ankle",3
"birkenstock","birkenstock",3
"classic","classic",3
"codon","codon",3
"earmuffs","earmuffs",3
"essential","essential",3
"expensive","expensive",3
"fluff","fluff",3
"fur","fur",3
"gloves","gloves",3
"london","london",3
"machine","machine",3
"mens","mens",3
"sheepskin","sheepskin",3
"short","short",3
"slide","slide",3
"slides","slides",3
"small","small",3
"stretch","stretch",3
"trainers","trainers",3
"washing","washing",3
"worn","worn",3
"zipper","zipper",3
"2021","2021",2
"adirondack","adirondack",2
"bearpaw","bearpaw",2
"biker","biker",2
"black","black",2
"blanket","blanket",2
"brand","brand",2
"chelsea","chelsea",2
"chestnut","chestnut",2
"closet","closet",2
"exchange","exchange",2
"fluffy","fluffy",2
"girls","girls",2
"grey","grey",2
"harrison","harrison",2
"hat","hat",2
"hoodie","hoodie",2
"infant","infant",2
"insoles","insoles",2
"junior","junior",2
"just","just",2
"leather","leather",2
"luxe","luxe",2
"martens","martens",2
"mittens","mittens",2
"mp3","mp3",2
"nhs","nhs",2
"online","online",2
"open","open",2
"outside","outside",2
"owns","owns",2
"protector","protector",2
"rain","rain",2
"repair","repair",2
"replace","replace",2
"resoled","resoled",2
"return","return",2
"returns","returns",2
"robe","robe",2
"season","season",2
"ship","ship",2
"size","size",2
"sliders","sliders",2
"slipper","slipper",2
"still","still",2
"stop","stop",2
"tasman","tasman",2
"toddlers","toddlers",2
"valentina","valentina",2
"wet","wet",2
"womens","womens",2
"york","york",2
"2022","2022",1
"abree","abree",1
"acre","acre",1
"animal","animal",1
"ansley","ansley",1
"antelope","antelope",1
"arch","arch",1
"ascot","ascot",1
"babies","babies",1
"back","back",1
"bad","bad",1
"boston","boston",1
"bow","bow",1
"bows","bows",1
"boys","boys",1
"bpm","bpm",1
"button","button",1
"buy","buy",1
"canada","canada",1
"chen","chen",1
"cheshire","cheshire",1
"china","china",1
"choo","choo",1
"cleaner","cleaner",1
"coat","coat",1
"comforter","comforter",1
"comforters","comforters",1
"country","country",1
"coupon","coupon",1
"cruelty","cruelty",1
"dakota","dakota",1
"difference","difference",1
"disquette","disquette",1
"docklands","docklands",1
"dressing","dressing",1
"dupes","dupes",1
"earmuff","earmuff",1
"emporium","emporium",1
"example","example",1
"feng","feng",1
"flac","flac",1
"flip","flip",1
"flops","flops",1
"friday","friday",1
"front","front",1
"funkette","funkette",1
"fuzz","fuzz",1
"fuzzette","fuzzette",1
"glitter","glitter",1
"goat","goat",1
"gown","gown",1
"handbag","handbag",1
"headband","headband",1
"headphones","headphones",1
"heel","heel",1
"heeled","heeled",1
"high","high",1
"imperfects","imperfects",1
"invented","invented",1
"ireland","ireland",1
"italia","italia",1
"jacket","jacket",1
"jaidyn","jaidyn",1
"jimmy","jimmy",1
"joggers","joggers",1
"john","john",1
"jorie","jorie",1
"jumper","jumper",1
"kensington","kensington",1
"knee","knee",1
"knitted","knitted",1
"kristin","kristin",1
"lace","lace",1
"laces","laces",1
"ladies","ladies",1
"leopard","leopard",1
"lewis","lewis",1
"loafers","loafers",1
"louis","louis",1
"m4a","m4a",1
"make","make",1
"markstrum","markstrum",1
"means","means",1
"medium","medium",1
"midi","midi",1
"mp4","mp4",1
"new","new",1
"noe","noe",1
"non-degenerate","non-degenerate",1
"oaks","oaks",1
"office","office",1
"official","official",1
"old","old",1
"order","order",1
"originate","originate",1
"oxford","oxford",1
"pink","pink",1
"policy","policy",1
"popular","popular",1
"promo","promo",1
"pyjamas","pyjamas",1
"qiyana","qiyana",1
"quincy","quincy",1
"quinn","quinn",1
"rebel","rebel",1
"receipt","receipt",1
"repaired","repaired",1
"restock","restock",1
"romely","romely",1
"ruined","ruined",1
"sales","sales",1
"scarf","scarf",1
"scuffette","scuffette",1
"selfridges","selfridges",1
"set","set",1
"sherpa","sherpa",1
"shoes","shoes",1
"site","site",1
"socks","socks",1
"sold","sold",1
"sorel","sorel",1
"spray","spray",1
"stand","stand",1
"start","start",1
"store","store",1
"strap","strap",1
"street","street",1
"sugar","sugar",1
"support","support",1
"tazz","tazz",1
"timberland","timberland",1
"tracksuit","tracksuit",1
"true","true",1
"type","type",1
"uggs","uggs",1
"ugh","ugh",1
"universe","universe",1
"vayne","vayne",1
"velvet","velvet",1
"voucher","voucher",1
"vuitton","vuitton",1
"walking","walking",1
"wang","wang",1
"wav","wav",1
"website","website",1
"wellies","wellies",1
"westfield","westfield",1
"winter","winter",1
"wool","wool",1
"worth","worth",1
"zaylee","zaylee",1
"zed","zed",1
"zilo","zilo",1
"zorrah","zorrah",1
